Identifier,Company Name,Company Type,Country,Year Founded,Company Status,Stock Exchange,Price,Market Cap (MM) (USD),Number of Employees,Gross Profit (MM) (USD),Net Income (MM) (USD),Earnings Per Share (EPS) (Basic) (USD),Earnings Per Share (EPS) (Diluted) (USD),Common Shares Outstanding (MM),Total Debt (MM) (USD),Cash & Short Term Investments (MM) (USD),Book Value Per Share (BVPS) (MM) (USD),Long Term Debt (MM) (USD),Total Assets (MM) (USD),Free Cash Flow (FCF) (MM) (USD),Capital Expenditures (MM) (USD),Dividend Yield,Price to Earnings (P/E),Return on Equity (ROE),Interest Coverage,Total Debt/EBITDA,Sales Growth
000Q07-E,Microsoft Corp.,Public,United States,1975,Active,NASDAQ,352.80,2963020.00,221000.00,"146,052.00","72,361.00",9.72,9.68,"7,432.00","79,441.00","111,262.00",27.75,"70,588.00","411,976.00","39,675.00","28,107.00",0.80,35.16,38.82,44.98,0.63,6.88
000C7F-E,"Apple, Inc.",Public,United States,1976,Active,NASDAQ,176.65,2961880.00,161000.00,"169,148.00","96,995.00",6.16,6.13,"15,550.06","123,930.00","61,555.00",4.00,"106,548.00","352,583.00","84,559.00","10,959.00",0.55,27.91,171.95,29.06,0.89,-2.80
0FPWZZ-E,"Alphabet, Inc.",Public,United States,2015,Active,NASDAQ,129.10,1832090.00,190234.00,"154,672.00","59,972.00",4.59,4.56,"12,849.00","29,977.00","113,762.00",19.93,"27,202.00","365,264.00","60,010.00","31,485.00",0.00,19.36,23.62,150.27,0.17,9.08
001MF1-E,"Amazon.com, Inc.",Public,United States,1994,Active,NASDAQ,138.60,1605280.00,1541000.00,"225,152.00","-2,722.00",-0.27,-0.27,"10,242.00","154,972.00","70,391.00",14.26,"140,118.00","462,675.00","-16,893.00","63,645.00",0.00,-,-1.91,5.71,1.55,9.40
00208X-E,NVIDIA Corp.,Public,United States,1993,Active,NASDAQ,450.05,1469430.00,26196.00,"15,356.00","4,368.00",1.76,1.74,"2,466.00","12,031.00","13,296.00",8.96,"10,605.00","41,182.00","3,410.00","1,833.00",0.08,116.89,17.93,21.29,1.54,0.22
0077YX-E,"Meta Platforms, Inc.",Public,United States,2004,Active,NASDAQ,314.60,985415.00,86482.00,"92,855.00","23,200.00",8.63,8.59,"2,614.00","27,278.00","41,032.00",48.09,"25,765.00","185,727.00","19,044.00","31,431.00",0.00,14.02,18.52,209.72,0.25,-1.12
000CS1-E,"Berkshire Hathaway, Inc.",Public,United States,1839,Active,NYSE,351.81,794900.00,383000.00,-,"-22,819.00",-10.36,-10.36,"2,189.60","127,683.00",-,215.73,"125,254.00","942,402.00","21,760.00","15,464.00",0.00,-,-4.66,-5.70,-,-17.19
006XY7-E,"Tesla, Inc.",Public,United States,2003,Active,NASDAQ,219.96,674535.00,127855.00,"20,853.00","12,583.00",4.02,3.62,"3,164.00","5,748.00","22,479.00",14.13,"3,761.00","82,338.00","7,561.00","7,172.00",0.00,34.02,33.60,72.42,0.18,51.35
000P56-E,Eli Lilly & Co.,Public,United States,1876,Active,NYSE,567.81,596715.00,39000.00,"21,911.60","6,244.80",6.93,6.90,950.18,"16,238.60","2,211.80",11.21,"14,737.50","49,489.80","1,694.30","2,484.00",1.07,53.00,63.63,24.97,1.66,0.79
0JCLYY-E,Broadcom Inc.,Public,United States,1961,Active,NASDAQ,882.68,567012.00,20000.00,"23,300.00","14,082.00",33.93,32.98,414.00,"39,648.00","14,189.00",57.94,"37,980.00","72,861.00","9,988.00",452.00,2.19,25.42,60.31,10.14,1.93,7.88
05MDRV-E,"Visa, Inc.",Public,United States,1958,Active,NYSE,243.60,544532.00,28800.00,"25,143.00","16,989.00",8.30,8.15,"2,022.94","20,981.00","22,827.00",18.31,"20,875.00","90,499.00","15,945.00","1,059.00",0.78,28.23,45.72,34.19,0.89,11.41
0035K2-E,JPMorgan Chase & Co.,Public,United States,1968,Active,NYSE,143.00,492368.00,309926.00,-,"49,261.00",16.25,16.23,"2,876.70","653,072.00",-,104.45,"391,825.00","3,875,393.00",-,-,2.41,10.48,15.89,-,-,51.98
000Y3J-E,"UnitedHealth Group, Inc.",Public,United States,1977,Active,NYSE,530.90,465755.00,-,-,"22,381.00",-,23.86,-,"62,537.00",-,-,"58,263.00","273,720.00","18,921.00","3,386.00",1.38,22.06,-,-,-,14.64
000YMS-E,"Walmart, Inc.",Public,United States,1945,Active,NYSE,164.66,437164.00,2100000.00,"147,568.00","11,680.00",4.29,4.27,"2,693.00","58,923.00","8,625.00",28.48,"52,320.00","243,197.00","5,870.00","16,857.00",1.56,33.68,14.60,11.53,1.26,6.73
0038M5-E,"Mastercard, Inc.",Public,United States,1966,Active,NYSE,386.05,409602.00,29900.00,"21,334.00","9,930.00",10.26,10.23,956.00,"14,793.00","7,997.00",6.59,"14,379.00","38,724.00","9,155.00","1,097.00",0.59,34.00,145.92,27.06,1.04,17.68
000NB6-E,Johnson & Johnson,Public,United States,1887,Active,NYSE,151.34,389209.00,152700.00,"64,297.00","17,941.00",6.83,6.73,"2,613.60","40,959.00","23,519.00",29.39,"28,188.00","187,378.00","5,503.00","4,009.00",2.52,26.23,23.79,27.84,1.25,1.34
002Q0G-E,Exxon Mobil Corp.,Public,United States,1882,Active,NYSE,107.78,387487.00,62000.00,"103,491.00","55,740.00",13.26,13.26,"4,082.00","46,918.00","29,665.00",47.78,"44,752.00","369,067.00","43,451.00","18,407.00",3.22,8.32,30.66,40.02,0.46,42.75
000LR9-E,"The Home Depot, Inc.",Public,United States,1978,Active,NYSE,295.61,360693.00,471600.00,"50,323.00","17,105.00",16.74,16.69,"1,016.00","50,364.00","2,757.00",1.54,"48,188.00","76,445.00","3,707.00","3,119.00",2.40,18.98,-,14.87,1.60,4.13
