뉴스 식별자,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,키워드,특성추출(가중치순 상위 50개),본문,URL,분석제외 여부
01101001.20250314182008001,20250314,한겨레,한겨레,"[사설] ‘명태균 특검법’ 거부한 최상목, 자신의 위헌행위는 안 보고 위헌 핑계대나",사회>사건_사고, 정치>행정_자치, 정치>청와대,,,,"명태균씨,명태균 특검법,윤석열,김건희,마은혁,최,박주민,최상목,명태균",,"정부,조사위원회,검찰,헌법재판소,더불어민주당,창원지검,국회,국민의힘","명태균,특검법,거부,최상목,자신,위헌행위,위헌,핑계,대나,권한대행,최상목,대통령,권한,대행,명태균씨,정치,브로커,명태균,선거,국정,개입,의혹,규명,명태균,특검법,위헌,요소,재의요구권,거부권,행사,헌법,수호,책임,운운,임명,마은혁,헌법,재판관,정면,헌법,위반,대행,이날,거부,행사,명태균,특검법,지난달,주도,국회,통과,명씨,대선,포함,각종,선거,불법,허위,여론조사,선거,개입,여론조사,정치인,무상,제공,공천,개입,의혹,부부,윤석열,대통령,친분,이용,정부,지방자치단체,인사,정책,결정,개입,혐의,제기,상태,대통령,공천,개입,민간인,김건희,여사,국정,농단,의혹,수사,대상,대행,이날,거부,행사,사유,특검법,위헌,소지,언급,특검법,국민,대선,경선,총선,제기,각종,의혹,수사,사건,수사,규정,수사,대상,범위,헌법상,원칙,비례,원칙,훼손,기간,규정,특검,수사,기간,공소,시효,정지,진행,재판,권한,공소,유지,헌법,적법,절차,주의,위배,대통령,2명,1명,특검,후보자,임명,임명,연장자,자동,임명,규정,대통령,임명권,침해,소지,헌법,권력,분립,원칙,위반,수사,사건,수사,특검,최순실,국정,농단,과거,특검,시행,공소,시효,정지,공소,유지,권한,위헌,지적,의원,더불어민주당,세월,참사,기간,공소시효,조사,위원회,활동,기간,공소,시효,정지,수사,지연,처벌,회피,조치,반박,대행,주장,대통령,임명,침해,주장,대통령,임명,대비,보완,조항,헌법,재판관,임명,본인,행태,자초,명태균,특검법,추진,명씨,부부,대통령,검찰,수사,대행,검찰,수사,진행,특검,중복,수사,주장,창원지검,수사보고서,명태균,수사,보고서,작성,김건희,여사,정치인들,연루,의혹,연일,공개,검찰,외면,검찰,고의,수사,회피,논란,독립적,중립적,특검,제기,수사,검찰,주장,헌법재판소,지난달,헌법,재판소,대행,마은혁,재판관,임명,헌법,위반,결정,재판관,임명,헌법,위반,특검법,위헌성,언급,자체,가소,대행,자신,위헌,행위,수사,국민,의혹,방해,죗값","특검법,명태균,헌법상,마은혁,최상목,재판관,명씨,정치인,공소시효,최순실","최상목 대통령 권한대행이 14일 정치브로커 명태균씨의 선거 국정 개입 의혹을 규명할 ‘명태균 특검법’에 위헌적 요소가 있다며 재의요구권(거부권)을 행사했다. 헌법 수호의 책임을 운운하고 있지만, 마은혁 헌법재판관 임명을 뭉개며 정면으로 헌법을 위반하고 있는 그가 입에 올릴 말이 아니다.
최 대행이 이날 거부권을 행사한 ‘명태균 특검법’은 지난달 27일 ..",http://www.hani.co.kr/arti/opinion/editorial/1187082.html,
01100901.20250314003538001,20250314,중앙일보,,[사설] 탄핵소추 8전8패 민주당 정치적 책임 져야,정치>행정_자치, 정치>청와대, 정치>국회_정당,,,,"이창수,최재훈,이,진영,윤석열,최재해","서해 공무원 피살사건,월성,한국,비상계엄,수권,이태원","감사원장,민주당,정부,헌법재판소,조상원,시시비비,헌재,국회,감사원,중앙지검,서울중앙지검","탄핵,소추,민주당,져야,정치,책임,법리,뒷전,정략,의도,횡포,다수,의석,정부,핵심,조직,마비,사과,반성,민주당,최재해,감사원장,이창수,서울,중앙지검장,4차장,조상원,중앙,지검,최재훈,부패,부장,탄핵소추,헌법재판소,기각,4건,만장일치,헌법,재판관,기각,지난달,헌재,원장,변론,차례,종결,지검장,검사,변론,차례,결과,예상,가능,탄핵,공직자,중대,헌법,법률,위반,확인,가능,민주당,자신들,정치,요구,억지,혐의,무더기,탄핵,애초,헌법재판관들,차례,변론,법리상,헌재,대통령실,관저,부실,감사,전현희,피살사건,국민,권익,위원장,표적,감사,서해,공무원,피살,사건,이태원,참사,위법행위,월성원전,감사,위법,행위,민주당,탄핵소추안,원장,탄핵,소추,기재,수사,김건희,여사,주가,조작,의혹,지검장,유포,수사,재량,남용,허위,사실,혐의,배척,민주당,출범,윤석열,정부,29건,탄핵소추안,발의,그중,국회,강행,처리,8건,탄핵안,기각,해석,뒷전,정략,의도,의석,국회,다수,횡포,비판,최재해,원장,이창수,지검장,탄핵안,국회,본회의,보고,윤석열,대통령,비상계엄,선포,단초,제공,사건,비상계엄,옹호,한국,정치,지경,탄핵,자행,민주당,책임,민주당,감사원,서울중앙지검,조직,정부,핵심,마비,사과,유감,표명,후안무치,태도,민주당,수권,정당,입증,반성,성찰,필수적,민주당,줄탄핵,탄핵안,국회,통과,직무,정지,허점,헌법,당장,개헌,부작용,최소화,탄핵심판,최대,진행,보완책,마련,헌재,판결,만장일치,재판관들,성향,차이,시시비비,사안,진영,논리,법리,결과,판결,탄핵,대통령,연결,무리,헌재,대통령,탄핵,선고,국민,승복,법리,충실,판결","민주당,지검장,이창수,재판관,만장일치,윤석열,조상원,전현희,비상계엄,탄핵안,최재해,탄핵소추안,최재훈,공무원,그중,월성원전,서해,김건희,뒷전,탄핵소추","━
 법리는 뒷전, 정략적 의도로 다수 의석 횡포 
 
 ━
 정부 핵심 조직 마비시키고 사과 반성 없어 
 지난해 12월 5일 민주당이 밀어붙인 최재해 감사원장과 이창수 서울중앙지검장, 조상원 중앙지검 4차장, 최재훈 반부패2부장에 대한 탄핵소추가 어제 헌법재판소에서 모조리 기각됐다. 그것도 4건 모두 헌법재판관 8명 만장일치의 기각이었다. 지난달 헌..",https://www.joongang.co.kr/article/25320558,
01100801.20250314003140001,20250314,조선일보,조선일보,"[사설] 정략 탄핵 전부 기각, 이 대표 국민에게 사과하라",정치>행정_자치, 정치>청와대, 정치>국회_정당,,,,"이창수,이재명,김건희,최재해","서해,장악,대장동","감사원장,민주당,정부,헌법재판소,국민권익위,감사원,헌재,국회,서울중앙지검,선관위","정략,탄핵,기각,대표,국민,사과,헌법재판소,감사원장,최재해,이창수,서울,중앙지검장,검사,탄핵안,의견,전원,일치,기각,민주당,4명,탄핵,소추,발의,비상계엄,사태,빌미,원장,98일,직무,복귀,민주당,감사원,사드,배치,피살,서해,공무원,국민,권익,위원장,감사,위법,시절,민주당,정권,부정,비리,감사,감사원장,헌정,사상,탄핵,소추,직무,정지,헌재,위법,근거,민주당,선관위,채용,비리,감사,감사원,적발,선관위,비리,878건,자녀,선관위,간부,친인척들,특혜,채용,사실,감사,탄핵,보복,서울중앙지검,검사,탄핵,소추,김건희,여사,수사,수사,비판,탄핵,소추,중대,위법,행위,정략,탄핵,소추,서울중앙지검,선고,항소심,예정,이재명,대표,사건,선거법,위반,대장동,사건,수사,검사,탄핵,진짜,목적,대표,방탄,민주당,윤석열,정부,발의,탄핵,소추,29건,역사,전무후무,세계,심우정,검찰,총장,탄핵,29건,13건,국회,일방,처리,이날,선고,전원,공직자,기각,결정,국회,탄핵,소추,통과,공직자,직무,정지,이틀,근무,탄핵,소추,이진숙,방통위원장,174일,직무,배제,야당,정부,견제,수준,국회,장악,정부,무시,국정,방해,국헌,문란,이재명,대표,줄탄핵,내란,지적,생각,테두리,헌법,질서,허용,권력,행사,정도,헌법,기본,질서,거짓,고소,고발,무고죄,거짓,업무,방해,업무방해죄,세금,낭비,국고손실죄,적용,범죄,민주당,탄핵,정략,무더기,실질적,범죄,공직자들,장기간,업무,탄핵,소추,변호사,비용,국민,세금,낭비,민주당,상응,대가,대표,국민,사과","민주당,공직자,선관위,서울중앙지검,감사원장,29건,감사원,심우정,이창수,서해,공무원,이재명,최재해,항소심,선거법","헌법재판소가 13일 최재해 감사원장과 이창수 서울중앙지검장 등 검사 3명에 대한 탄핵안을 전원 일치 의견으로 기각했다. 민주당이 이 4명에 대한 탄핵 소추를 발의한 것이 작년 12월 2일인데 다음 날 비상계엄 사태의 한 빌미가 됐다. 최 원장 등은 98일 만에 직무에 복귀했다. 
 
민주당은 감사원의 사드 배치, 서해 공무원 피살, 국민권익위원장 감사 ..",https://www.chosun.com/opinion/editorial/2025/03/14/IY5WMP6QFFADDH5U7T27BCF3XU/?utm_source=bigkinds&utm_medium=original&utm_campaign=news,
01101101.20250314001026001,20250314,한국일보,,[사설] 탄핵 줄기각 민주당은 '정치 탄핵' 멈춰야,정치>행정_자치, 정치>청와대, 정치>국회_정당,,,,"이창수,이,심우정,검찰총장,김건희,마은혁,최상목,최재해",,"감사원장,민주당,정부,헌법재판소,방송통신위,국민권익위,더불어민주당,국회,헌재,도이치모터스,서울중앙지검,국민의힘","탄핵,줄기각,민주당,정치,탄핵,헌법재판소,감사원장,최재해,이창수,서울,중앙지검장,검사,국회,탄핵소추,기각,결정,재판관,전원,일치,더불어민주당,주도,탄핵소추,인용,예상,결과,헌재,원장,탄핵심판,부실,감사,대통령실,관저,사정도,표적,감사,전현희,국민권익위원장,단정,근거,판단,주심,위원,열람,감사보고서,시행,공표,행위,위반,파면,정도,중대,지검장,검사,도이치모터스,주가,조작,의혹,수사,여사,김건희,제3,장소,조사,경호,어려움,감안,남용,재량,여사,문자,메신저,증거,수집,수사,의문,지적,감사,부실,수사,의혹,해소,탄핵,소추,요건,스스로,민주당,민주당,출범,윤석열,정부,발의,탄핵소추안,29건,국회,본회의,가결,직무,정지,효력,발생,13건,8건,탄핵심판,기각,이진숙,방송통신,위원장,취임,상태,탄핵소추,민주당,마은혁,헌법,재판관,후보자,임명,권한대행,최상목,대통령,권한,대행,구속취소,대통령,구속,취소,즉시항고,포기,심우정,검찰,총장,탄핵소추,기각,탄핵,정치적,이용,연쇄탄핵병,비아냥,지지자들,대통령,지지자,기화,탄핵소추,대통령,탄핵,소추,기각,목청,경중,사안,억지,대통령,국민,자중,밑밥,민주당","민주당,탄핵소추,재판관,위원장,도이치모터스,마은혁,심우정,이창수,최재해,김건희,이진숙,탄핵심판,윤석열,후보자,최상목,즉시항고,연쇄탄,핵병,연쇄탄핵병,13건","헌법재판소가 어제 최재해 감사원장과 이창수 서울중앙지검장 등 검사 3명에 대한 국회의 탄핵소추를 모두 기각했다. 재판관 전원일치 결정이다. 지금까지 더불어민주당 주도로 이뤄진 탄핵소추 중 인용된 건 단 한 건도 없다. 충분히 예상된 결과다.
헌재는 최 원장에 대한 탄핵심판에서 부실 감사(대통령실 관저 이전)가 있었다고 볼 사정도, 표적 감사(전현희 전 ..",https://www.hankookilbo.com/News/Read/A2025031314580005905,
01100401.20250314233105001,20250314,동아일보,,[사설]감사원장-검사 3명 기각 그래도 ‘줄탄핵’ 사과조차 없는 野,사회>미디어, 정치>행정_자치, 정치>청와대,,,,"김,이창수,유감,이정섭,김건희,최재해,이재명",수원지검,"민주당,국회 법제사법위,더불어민주당,감사원,도이치모터스,방송통신위원회,서울중앙지검,쌍방울,감사원장,정부,헌법재판소,국민권익위,헌재,타깃","감사원장,검사,기각,줄탄핵,사과,헌법재판소,감사원장,최재해,이창수,서울,중앙지검장,검사,탄핵안,의견,전원,일치,기각,헌재,대통령실,관저,부실,감사,위반,정치,중립,탄핵,소추,원장,파면,사유,김건희,여사,연루,의혹,제기,사건,도이치모터스,주가,조작,수사,지휘,검사,재량,남용,헌법,법률,위반,판단,주도,더불어민주당,원장,검사들,탄핵,추진,요건,지적,본회의,탄핵소추안,처리,98일,직무,정지,무리,탄핵,감사원,서울중앙지검,업무,공백,초래,출범,윤석열,정부,민주당,주도,29건,탄핵소추안,발의,13건,가결,헌재,결정,8건,기각,일치,전원,법적,탄핵,사유,입맛,야당,공직자들,직무,배제,수단,탄핵,이용,야당,타깃,방송통신위원회,3명,위원장,직무대행,탄핵,대상,정도,보복,탄핵,논란,사례,수원지검,민주당,이재명,대표,연루,의혹,제기,수사,쌍방울,대북,송금,총괄,이정섭,검사,개인,비리,탄핵,소추,헌재,기각,탄핵안,국회,법제,사법,위원회,계류,검사,대표,민주당,수사,민주당,이력,방탄,탄핵,헌재,원장,파면,만큼,국민,권익,위원장,감사,위법,검사,의혹,여사,주가,조작,관여,증거,수집,수사,의문,제기,탄핵안,기각,원장,검사들,면책,얘기,무더기,탄핵,정부,방해,야당,책임,민주당,줄탄핵,유감,대표,방송,출연,생각,정도,과반,의석,원내,탄핵,남발,국정,혼란,가중,공식,사과,도리","민주당,위원장,쌍방울,도이치모터스,수원지검,줄탄핵,3명,탄핵안,이창수,본회의,최재해,윤석열,탄핵소추안,감사원장,더불어민주당,김건희,이재명","헌법재판소가 13일 최재해 감사원장 및 이창수 서울중앙지검장 등 검사 3명에 대한 탄핵안을 전원 일치 의견으로 기각했다. 헌재는 대통령실 관저 이전 부실 감사, 정치적 중립 위반 등으로 탄핵 소추된 최 원장에 대해 “파면을 정당화할 사유가 없다”고 밝혔다. 김건희 여사 연루 의혹이 제기된 도이치모터스 주가조작 사건을 수사하거나 지휘한 검사 3명에 대해서..",https://www.donga.com/news/Opinion/article/all/20250313/131205019/2,
01101001.20250313184003001,20250313,한겨레,한겨레,"[사설] 최재해 이창수 탄핵 기각, 윤석열 면죄부 전혀 아니다",정치>청와대, 정치>행정_자치, 사회>사회일반,,,,"보아,윤석열,이창수,김건희,최",,"감사원장,헌법재판소,12·3 비상계엄,헌재,국회,감사원,서울중앙지검,회의록","최재해,이창수,탄핵,기각,윤석열,면죄부,헌법재판소,감사원장,최재해,이창수,서울,중앙지검장,탄핵,심판,청구,기각,헌재,헌법,법률,위반,인정,의심,정황,파면,정도,중대,판단,만큼,국회,탄핵소추권,남용,윤석열,대통령,포함,연속,탄핵,소추,12,명분,국회,헌법,규정,공직자,탄핵소추,비상계엄,헌재,결정,탄핵,소추,자체,사실,재확인,헌재,검사,탄핵,검사들,헌법,법률,위반,행위,일정,수준,소명,수준,탄핵,소추,목적,책임,추궁,재발,예방,헌법,수호,탄핵소추권,남용,단정,탄핵소추,비상계엄,주장,대통령,법률대리인단,대통령,법률,대리인단,이날,입장문,근거,법률,위반,확인,헌재,결정,막무가내식,주장,탄핵,기각,강조,감사원장,훈령,주심위원,권한,침해,국회,현장,검증,회의록,열람,거부,사실,위반,인정,감사원장,감사기구,국가,최고,감사,기구,자격,김건희,여사,압수수색,처분,이창수,지검장,증거,수집,수사,수사,지휘,감독,의문,지적,여사,무혐의,뒷받침,근거,강조,수사,국민,혼동,발언,인정,헌재,결정,대목,감사원장,감사원,대통령,국정,운영,지원,기관,발언,감사원,독립,훼손,헌재,국가,의미,여지,지검장,판단,자료,고의성,입증,탄핵,기각,검사,국민,위법,판단,헌재,결정,별도,파면,대통령,선고,국가,혼란","감사원장,탄핵소추,감사원,이창수,비상계엄,무혐의,지검장,윤석열,최재해,탄핵소추권,회의록,주심위원,고의성,김건희,압수수색,중앙지검장,입장문,서울,대리인단",헌법재판소가 13일 최재해 감사원장과 이창수 서울중앙지검장 등에 대한 탄핵심판 청구를 기각했다. 헌재는 이들의 헌법 법률 위반이 일부 인정되거나 의심할 정황은 있지만 파면을 해야 할 정도로 중대하거나 명확하지 않다고 판단했다. 그런 만큼 국회의 탄핵소추권이 남용된 게 아님을 분명히 했다. 윤석열 대통령은 이들을 포함한 연속 탄핵소추를 12 3 비상계엄의..,http://www.hani.co.kr/arti/opinion/editorial/1186898.html,
01100101.20250313181537001,20250313,경향신문,,"[사설] 최재해 이창수 탄핵 기각, 숱한 ‘편향 특혜’ 면죄부 삼지 말라",사회>사건_사고, 정치>행정_자치, 정치>청와대,,,,"김,이창수,김건희,전현희,최재해","비상계엄,비상계엄의","감사원장,헌법재판소,검찰,국민권익위,여사,헌재,국회,도이치모터스,서울중앙지검","최재해,이창수,탄핵,기각,편향,특혜,면죄부,헌법재판소,감사원장,최재해,이창수,서울,중앙지검장,검사,탄핵소추,의견,재판관,전원,일치,기각,위법,부당,행위,공직,파면,정도,헌재,판단,결정,존중,원장,검찰,반성,사정,기관,책임자,정치,중립,국회,12월,원장,대통령,집무실,관저,감사,부실,전현희,감사,국민,권익,위원장,표적,사유,탄핵소추,헌재,부실,감사,사정,위원장,표적,감사,의혹,제보,근거,특정사안감사,감사,목적,부실,김건희,여사,도이치모터스,주가,조작,연루,의혹,특혜,수사,탄핵소추,지검장,헌재,수사,재량,남용,여사,부당,편의,제공,판단,헌재,행위,면죄부,원장,주심,위원,열람,감사,보고서,시행,가능,전자문서,변경,행위,국회,관저,의혹,현장검증,기록,열람,거부,행위,법률,위반,검찰,수사,여사,헌재,주범들,도이치모터스,사건,주범,시세,조종,범행,여사,증권계좌,활용,사실,확인,여사,공동가공,의사,여럿,공동,범죄,실행,의사,판단,검사들,수사,의문,지적,여권,헌재,야당,남발,정치,탄핵,철퇴,평가,헌재,국회,탄핵소추권,남용,탄핵,소추,사유,구체적,특정,국회,공직자,탄핵,소추,비판,12,윤석열,주장,헌재,결정,12,헌법,위반,내란,증거,윤석열,탄핵,심판,절차,별개,헌재,선고기일,윤석열,탄핵,심판,선고,기일,헌재,의견,재판관,전원,일치,수괴,대통령직,파면,헌정질서,위험,국가,시민","윤석열,도이치모터스,탄핵소추,재판관,비상계엄,이창수,책임자,위원장,면죄부,전자문서,최재해,김건희,공직자","헌법재판소가 13일 최재해 감사원장과 이창수 서울중앙지검장 등 검사 3명에 대한 탄핵소추를 재판관 전원일치 의견으로 기각했다. 이들이 위법 부당한 행위를 했지만 공직에서 파면할 정도는 아니라고 봤다. 헌재 판단과 결정을 존중한다. 최 원장과 검찰은 지금이라도 깊이 반성하고, 사정기관 책임자로서 정치적 중립을 철저히 지켜야 한다.

국회는 지난해 12월5..",https://www.khan.co.kr/article/202503131815001,
01101001.20250313181003002,20250313,한겨레,한겨레,"[사설] 국회 통과한 상법 개정안, 최 대행 거부권 행사 말아야",경제>경제일반, 정치>행정_자치,,,,,"이,윤석열,최,최상목","공평,한국,선진","경제팀,금융감독원장,정부,대우,더불어민주당,국회,대법원,국민의힘","국회,통과,상법,개정안,대행,거부,행사,소액,주주,이익,보호,상법,개정안,본회의,국회,통과,코리아,디스카운트,해소,걸음,국민,권한대행,최상목,대통령,권한,대행,거부,행사,건의,방침,권한,수용,이날,더불어민주당,야당,주도,본회의,통과,상법,개정안,이사,충실,대상,회사,회사,주주,이사,직무,수행,주주,이익,보호,주주,이익,공평,대우,규정,현행,상법,충실,의무,대상,회사,언급,주주,충실,의무,대법원,공식,입장,이사,지배주주,이익,주주,나머지,일반,이익,희생,책임,결과,지배,주주,노골적,행위,사익,편취,회사,일방적,인수합병,분할,일반,주주,이익,침해,상황,발생,상황,상법,개정안,취지,그동안,자본,시장,전문가,단체,소액,주주,증시,고질적,현상,코리아,디스카운트,해소,후진적,기업,지배,구조,개선,주주,이익,보호,상법,개정,지적,재계,입장,대변,상법,개정,반대,국민,상법,개정안,권한,재의요구권,거부권,행사,건의,방침,상법,개정,정부,애초,윤석열,추진,권한,찬성,윤석열,대통령,방침,상법,개정,추진,권한,윤석열,정부,임기,자본,시장,선진,중점,상법,개정,추진,금융감독원장,이날,이복현,금융,감독원장,한국,경제,일관,시금석,주주,가치,의지,사람,경제팀,원점,형태,의사결정,수용,거부,행사,반대,원장,주주,가치,경제팀,윤석열,정부,경제,강조,정책,상법,개정,주주,가치,장치,경제,일원,권한,상법,개정안,국민,요구,거부,행사,거부","윤석열,경제팀,개정안,거부권,본회의,전문가,이복현,코리아,한국,지배주주,최상목","소액 주주의 이익을 보호하는 내용의 상법 개정안이 13일 국회 본회의를 통과했다. ‘코리아 디스카운트’ 해소를 향해 한 걸음을 내디딘 것이다. 국민의힘이 최상목 대통령 권한대행에게 거부권 행사를 건의할 방침이지만, 최 권한대행은 이를 수용해서는 안 될 것이다.
이날 더불어민주당 등 야당 주도로 본회의를 통과한 상법 개정안은 이사가 충실해야 하는 대상을 ..",http://www.hani.co.kr/arti/opinion/editorial/1186887.html,
01100901.20250313003447001,20250313,중앙일보,,"[사설] 검찰이 포기한 즉시항고, 법원은 “상급심 판단 구해야”",사회>사건_사고, 정치>행정_자치, 국제>미국_북미,,,,"윤석열,천,천대엽",계산,"법원행정처,대검찰청,검찰,국회 법제사법위,법원,고위공직자범죄,대법원,형사합의25부,법원행정처장(,서울중앙지법,공수처,재판부,검찰청","검찰,포기,즉시항고,법원,상급심,판단,검찰,일선,구속기간,계산,지시,법원,행정처장,항고,혼란,해소를,윤석열,대통령,법원,구속,취소,결정,즉시항고,포기,대검찰청,검찰청,일선,구속기간,종전,계산,지시,혼란,가중,대통령,재판부,서울중앙지법,형사,합의,구속기간,산정,제외,영장,실질,심사,기간,검찰,구속기한,9시간,대통령,기소,판단,재판부,고위공직자범죄수사처,내란죄,수사,의문,대법원,해석,판단,절차,수사,적법성,의문,여지,해소,형사,소송법,법원,구속취소,결정,검찰,즉시항고,검찰,법원,보석,허가,구속,집행,정지,결정,무력화,즉시항고,위헌,선례,즉시항고,포기,대통령,석방,기준,피의자,적용,형평,논란,검찰,재판부,판단,존중,구속기간,보수적,산정,날수,계산,지시,하달,즉시항고,포기,처사,앞뒤,대통령,일반인,검찰,판단,검찰,즉시,항고,포기,최선,의문,긴급현안질의,국회,법제,사법,위원회,긴급,현안,질의,출석,천대엽,법원,행정처장,대법관,의원들,질문,검찰,즉시항고,상급심,판단,생각,처장,금요일,항고,기간,구속,상태,즉시항고,상급심,판단,특별,장애,설명,대통령,여부,신병,처리,판단,검찰,포기,즉시항고,법원,이례,상황,즉시항고,사안,보통항고,통설,검찰,보통항고,처장,석방,대통령,즉시항고,진행,재판부,지적,공수처,유무,내란죄,수사,혐의,재판,변수,대통령,구속취소,검찰,항고,포기,법원,검찰,내부,의문,만큼,상급,법원,판단,검찰,앞뒤,지시,논란,자초,형사,절차,혼란,정리,방법","즉시항고,재판부,내란죄,구속기간,앞뒤,상급심,구속취소,서울중앙지법,천대엽,보통항고,행정처장,위원회,공직자,피의자,의원들,수사처,긴급현안질의,대법관,공수처,고위공직자범죄수사처,적법성","━
 검찰, 일선에 구속기간 계속 ‘날’로 계산 지시 
 
 ━
 법원행정처장 “항고 필요” 혼란 조속 해소를 
 윤석열 대통령에 대한 법원의 구속취소 결정에 즉시항고를 포기한 대검찰청이 지난 11일 일선 검찰청에 “구속기간은 ‘시간’이 아닌 종전처럼 ‘날’로 계산하라”는 지시를 내려 혼란이 가중되고 있다. 이에 앞서 윤 대통령 담당 재판부인 서울중앙지..",https://www.joongang.co.kr/article/25320260,
01100801.20250313003034001,20250313,조선일보,조선일보,[사설] 헌재 주변 풍경이 보여주는 한국 정치 저질 수준,정치>청와대, 정치>국회_정당, 정치>행정_자치,사회>사회갈등>시위,,,"윤석열,이재명","광화문,종로구,중구,서울,러시아제 권총,한국,인근","민주당,광화문 광장,헌법재판소,더불어민주당,민주노총,헌재,국회,한국,아침,국민의힘","풍경,헌재,주변,한국,정치,저질,수준,윤석열,대통령,선고,탄핵,심판,여야,거리,정치,더불어민주당,의원,국회,광화문,마련,천막,농성장,8.7,대통령,파면,요구,시위,시위,대통령,탄핵,심판,선고,예정,의원들,민주당,재선,의원,주변,헌법,재판소,여럿,인간,시위,예고,의원들,삭발,천막,단식,농성,사람,민주노총,밤샘,집회,11일,광화문,광장,텐트,침낭,국민,투쟁,장외,단식,행동,시간,헌재,기각,대통령,탄핵,요구,릴레이,시위,동참,국힘,의원,60명,108명,소속,의원,절반,거리,지도부,동참,말장난,대통령,탄핵,심판,선고,사회,헌재,판결,국민,동의,감정,거리,분출,혼란,충돌,발생,한국,국격,이미지,타격,풍경,헌재,주변,나라,자신,패거리,이익,추구,한국,정치,저질,수준,경찰,헌재,선고,당일,서울,종로구,일대,인근,중구,특별범죄예방강화구역,지정,100m,헌재,반경,100m,차벽,진공상태,흥분,집회,참가자,접근,위험,물품,주유소,공사장,폐쇄,방안,종로구,상가,헌재,인근,입간판,권고,헌재,인근,고교들,휴교,선고,당일,예정,걱정,한편,와중,민주당,러시아제,권총,밀수,이재명,대표,암살,제보,문자,경찰,신변,보호,요청,대통령,암살,인터넷,경찰,내사,착수,여야,거리,헌재,판결,승복,선언","한국,민주당,의원들,광화문,100m,종로구,중구,더불어민주당",윤석열 대통령의 탄핵 심판 선고를 앞두고 여야가 모두 ‘거리 정치’에 나서고 있다. 더불어민주당 의원들은 12일 국회에서 광화문에 마련된 천막 농성장까지 8.7㎞를 걸어가며 대통령 파면을 요구하는 시위를 했다. 이런 시위를 대통령 탄핵 심판 선고가 날 때까지 매일 할 예정이라고 했다. 민주당 재선 의원들은 매일 아침 헌법재판소 주변에서 여럿이 줄지어 늘..,https://www.chosun.com/opinion/editorial/2025/03/13/ZQI2ZAQZQFCHVEAVRMVF32OB3I/?utm_source=bigkinds&utm_medium=original&utm_campaign=news,
