public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,CAPEI_Median,divyield_Median,pe_exi_Median,pe_inc_Median,efftax_Median,aftret_invcapx_Median,gpm_Median,roa_Median,roe_Median,debt_invcap_Median,totdebt_invcap_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,intcov_ratio_Median,cash_ratio_Median,curr_ratio_Median
2010-01-31,Communication Services,52,-0.071969,-0.080035,0.227,11.587,7.25%,9.004,10.345,0.371,0.033,0.582,0.139,0.002,0.501,0.545,1.516,0.647,0.404,1.321,0.603,1.510
2010-01-31,Consumer Discretionary,606,-0.000832,-0.025356,0.000,11.446,2.14%,1.982,1.982,0.364,0.012,0.344,0.101,0.003,0.250,0.361,0.996,0.549,0.218,2.435,0.381,1.721
2010-01-31,Consumer Staples,173,-0.018075,-0.010126,0.161,17.079,2.50%,13.086,13.067,0.351,0.101,0.356,0.147,0.118,0.266,0.384,1.060,0.524,0.250,7.310,0.327,1.783
2010-01-31,Energy,224,-0.021425,-0.045463,0.000,8.692,1.22%,-1.608,-1.326,0.345,-0.006,0.242,0.082,-0.043,0.304,0.341,0.969,0.515,0.236,0.412,0.309,1.469
2010-01-31,Financials,780,0.049950,0.002950,0.537,10.454,2.76%,5.007,5.025,0.301,0.000,0.410,0.013,0.015,0.413,0.658,8.390,0.894,0.134,2.527,0.957,1.986
2010-01-31,Health Care,596,-0.000847,0.001810,0.000,-1.933,1.86%,-1.778,-1.701,0.335,0.000,0.392,0.046,-0.068,0.049,0.132,0.593,0.413,0.095,2.390,1.451,2.650
2010-01-31,Industrials,573,-0.032802,-0.023449,0.021,13.790,1.79%,9.053,9.037,0.350,0.046,0.277,0.100,0.039,0.224,0.312,0.978,0.523,0.186,4.009,0.385,2.048
2010-01-31,Information Technology,705,-0.029553,-0.080315,0.000,12.873,1.86%,-1.422,-1.472,0.302,0.000,0.488,0.061,-0.026,0.008,0.047,0.511,0.350,0.031,2.009,1.249,2.578
2010-01-31,Materials,185,-0.045540,-0.086832,0.191,14.388,1.73%,5.212,4.363,0.305,0.046,0.239,0.093,0.039,0.334,0.370,1.229,0.564,0.254,3.075,0.370,2.164
2010-01-31,Utilities,103,-0.038227,-0.046343,0.608,15.775,4.30%,13.063,12.966,0.344,0.068,0.244,0.091,0.070,0.505,0.585,2.438,0.707,0.349,2.704,0.114,1.069
2010-02-28,Communication Services,52,0.013292,-0.004958,0.271,7.299,6.91%,4.704,6.763,0.356,0.065,0.584,0.137,0.026,0.483,0.490,1.413,0.629,0.391,1.319,0.600,1.545
2010-02-28,Consumer Discretionary,604,0.059640,0.058446,0.000,11.719,2.00%,11.508,11.420,0.360,0.051,0.350,0.106,0.050,0.257,0.347,0.986,0.536,0.214,2.706,0.463,1.770
2010-02-28,Consumer Staples,174,0.041680,0.028767,0.149,17.374,2.35%,14.005,14.057,0.348,0.113,0.348,0.145,0.131,0.243,0.348,0.981,0.511,0.235,7.996,0.353,1.817
2010-02-28,Energy,226,0.043262,0.029762,0.000,9.396,1.14%,-1.449,-1.449,0.324,0.000,0.289,0.079,-0.025,0.284,0.312,0.883,0.515,0.226,0.110,0.364,1.546
2010-02-28,Financials,779,0.021980,0.033850,0.364,10.855,2.54%,7.814,7.823,0.297,0.000,0.401,0.014,0.028,0.371,0.626,8.464,0.895,0.119,4.124,0.858,2.060
2010-02-28,Health Care,594,0.024094,0.007212,0.000,-2.046,1.78%,-0.786,-0.663,0.331,0.001,0.431,0.068,0.005,0.028,0.103,0.559,0.397,0.066,2.956,1.461,2.705
2010-02-28,Industrials,571,0.039951,0.049496,0.000,14.379,1.79%,11.728,11.751,0.334,0.053,0.281,0.101,0.046,0.202,0.273,0.921,0.498,0.174,3.623,0.473,2.096
2010-02-28,Information Technology,702,0.052642,0.044000,0.000,13.270,1.81%,-0.401,-0.314,0.287,0.000,0.491,0.066,0.001,0.003,0.027,0.488,0.345,0.021,2.448,1.388,2.552
